;;;;;;;;;;;;;;
;;;;;;Se è necessario inserire più tesserati, UTILIZZARE UNA SECONDA COPIA DI QUESTO FILE, NON AGGIUNGERE RIGHE A QUESTO FILE!;;;;;;;;
;;;;;;;;;;;;;;
visto: COMITATO PROVINCIALE ACSI;;;;           IL PRESIDENTE ;;;;;;;;;;
_________________________________;;;;____________________________;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
72;ACQUA GYM;;;;;;;;;;;;;
266;ACROBATICA;;;;;;;;;;;;;
267;ACROBAZIA AEREA;;;;;;;;;;;;;
268;ACROGYM;;;;;;;;;;;;;
26;AEROBICA;;;;;;;;;;;;;
73;AEROBOXE;;;;;;;;;;;;;
269;AEROMODELLISMO;;;;;;;;;;;;;
270;AERONAUTICA SPORTIVA;;;;;;;;;;;;;
74;AGILITY;;;;;;;;;;;;;
75;AIKIDO;;;;;;;;;;;;;
164;ALPINISMO;;;;;;;;;;;;;
271;AQUILONISMO;;;;;;;;;;;;;
272;ARM WRESTLING;;;;;;;;;;;;;
273;ARRAMPICATA SPORTIVA  (FREE CLIMBIN;;;;;;;;;;;;;
21;ARTI MARZIALI;;;;;;;;;;;;;
45;ATLETICA;;;;;;;;;;;;;
166;ATLETICA LEGGERA;;;;;;;;;;;;;
274;ATTACCHI;;;;;;;;;;;;;
76;ATTIVITA' CINOFILE;;;;;;;;;;;;;
167;ATTIVITA' CULTURALI;;;;;;;;;;;;;
168;ATTIVITA' DI QUARTIERE;;;;;;;;;;;;;
77;ATTIVITA' LUDICHE;;;;;;;;;;;;;
59;ATTIVITA' MOTORIE;;;;;;;;;;;;;
165;ATTIVITA' RICREATIVE;;;;;;;;;;;;;
170;ATTIVITA' SUBACQUEA;;;;;;;;;;;;;
78;ATTIVITA' SUBACQUEE;;;;;;;;;;;;;
79;ATTIVITA' TEATRALI E SPETTACOLO;;;;;;;;;;;;;
275;AUTO STORICHE;;;;;;;;;;;;;
276;AUTOCROSS;;;;;;;;;;;;;
50;AUTOMOBILISMO SPORTIVO;;;;;;;;;;;;;
295;AUTOMODELLISMO;;;;;;;;;;;;;
171;AVVIAMENTO ALLO SPORT;;;;;;;;;;;;;
296;BACKGAMMON;;;;;;;;;;;;;
80;BADMINTON;;;;;;;;;;;;;
82;BALLO;;;;;;;;;;;;;
172;BALLO CARAIBICO;;;;;;;;;;;;;
81;BALLO DI GRUPPO;;;;;;;;;;;;;
174;BALLO LATINO AMERICANO;;;;;;;;;;;;;
175;BALLO LISCIO;;;;;;;;;;;;;
67;BASEBALL;;;;;;;;;;;;;
6;BASKET;;;;;;;;;;;;;
176;BEACH SOCCER;;;;;;;;;;;;;
83;BEACH VOLLEY;;;;;;;;;;;;;
297;BENCH PRESS;;;;;;;;;;;;;
298;BILIARDINO;;;;;;;;;;;;;
42;BILIARDO;;;;;;;;;;;;;
299;BILIARDO BOCCETTE;;;;;;;;;;;;;
300;BILIARDO STECCA;;;;;;;;;;;;;
301;BIO DANZA;;;;;;;;;;;;;
84;BIRD WATCHING;;;;;;;;;;;;;
302;BIRILLI SPORT DEL GHIACCIO;;;;;;;;;;;;;
303;BMX;;;;;;;;;;;;;
85;BOB;;;;;;;;;;;;;
86;BOCCE RAFFA;;;;;;;;;;;;;
277;BOCCE VOLO;;;;;;;;;;;;;
27;BODY BUILDING - MUSCOLAZIONE;;;;;;;;;;;;;
278;BOOMERANG;;;;;;;;;;;;;
409;BOOTCAMP;;;;;;;;;;;;;
178;BOWLING;;;;;;;;;;;;;
87;BOXE;;;;;;;;;;;;;
179;BOXE THAILANDESE;;;;;;;;;;;;;
279;BRACCIO DI FERRO;;;;;;;;;;;;;
280;BRIDGE;;;;;;;;;;;;;
281;BROOMBALL;;;;;;;;;;;;;
282;BUNGEE JUMPING;;;;;;;;;;;;;
283;BURRACO;;;;;;;;;;;;;
88;CACCIA;;;;;;;;;;;;;
46;CALCIO;;;;;;;;;;;;;
23;CALCIO A 11;;;;;;;;;;;;;
1;CALCIO A 5;;;;;;;;;;;;;
22;CALCIO A 7;;;;;;;;;;;;;
47;CALCIO A 8;;;;;;;;;;;;;
41;CALCIO BALILLA;;;;;;;;;;;;;
180;CALCIO FEMMINILE;;;;;;;;;;;;;
284;CALCIO PATTINATO;;;;;;;;;;;;;
285;CALCIOKE;;;;;;;;;;;;;
181;CAMPING;;;;;;;;;;;;;
89;CANI DA SLITTA;;;;;;;;;;;;;
65;CANOA;;;;;;;;;;;;;
90;CANOTTAGGIO;;;;;;;;;;;;;
182;CANTO;;;;;;;;;;;;;
286;CANYONING;;;;;;;;;;;;;
287;CAPOEIRA;;;;;;;;;;;;;
91;CARAIBICI;;;;;;;;;;;;;
288;CARDIO FITNESS;;;;;;;;;;;;;
304;CARROM;;;;;;;;;;;;;
305;CARVING;;;;;;;;;;;;;
306;CECOTING;;;;;;;;;;;;;
92;CENE SOCIALI;;;;;;;;;;;;;
13;CENTRO ANZIANI;;;;;;;;;;;;;
12;CENTRO GIOCHI;;;;;;;;;;;;;
93;CICLISMO;;;;;;;;;;;;;
307;CICLOAMATORIALE;;;;;;;;;;;;;
94;CICLOTURISMO;;;;;;;;;;;;;
308;CINOTECNICA;;;;;;;;;;;;;
66;CIRCOLO CULTURALE;;;;;;;;;;;;;
183;COLLEZIONISMO;;;;;;;;;;;;;
185;CORSA;;;;;;;;;;;;;
309;CORSA CAMPESTRE;;;;;;;;;;;;;
310;CORSA OSTACOLI;;;;;;;;;;;;;
311;CRICKET;;;;;;;;;;;;;
312;CROQUET;;;;;;;;;;;;;
313;CROSS;;;;;;;;;;;;;
314;CULTURISMO;;;;;;;;;;;;;
315;CURLING;;;;;;;;;;;;;
43;DAMA;;;;;;;;;;;;;
20;DANZA;;;;;;;;;;;;;
316;DANZA ARTISTICA;;;;;;;;;;;;;
33;DANZA CLASSICA;;;;;;;;;;;;;
261;Danza del Ventre;;;;;;;;;;;;;
186;DANZA FOLK;;;;;;;;;;;;;
187;DANZA FUNKY;;;;;;;;;;;;;
188;DANZA HIP HOP;;;;;;;;;;;;;
189;DANZA JAZZ;;;;;;;;;;;;;
32;DANZA MODERNA;;;;;;;;;;;;;
263;Danza Propedeutica;;;;;;;;;;;;;
95;DANZA SPORTIVA;;;;;;;;;;;;;
30;DANZE CARAIBICHE;;;;;;;;;;;;;
96;DANZE FOLK;;;;;;;;;;;;;
190;DANZE IRLANDESI;;;;;;;;;;;;;
191;DARDI;;;;;;;;;;;;;
289;DARTS FRECCETTE;;;;;;;;;;;;;
290;DELTAPLANO;;;;;;;;;;;;;
60;DIFESA PERSONALE;;;;;;;;;;;;;
97;DIKSHA;;;;;;;;;;;;;
192;DIPORTISMO NAUTICO;;;;;;;;;;;;;
54;DISCIPLINE OLISTICHE;;;;;;;;;;;;;
98;DISCIPLINE ORIENTALI;;;;;;;;;;;;;
53;DIVING;;;;;;;;;;;;;
291;DUATHLON;;;;;;;;;;;;;
99;ENDURO;;;;;;;;;;;;;
193;ENOGASTRONOMIA;;;;;;;;;;;;;
52;EQUITAZIONE;;;;;;;;;;;;;
100;ESCURSIONISMO;;;;;;;;;;;;;
259;ETICO MERIDIANI;;;;;;;;;;;;;
292;FALCONIERE;;;;;;;;;;;;;
101;FENG HUANG;;;;;;;;;;;;;
293;FIONDA;;;;;;;;;;;;;
102;FITBOXE;;;;;;;;;;;;;
25;FITNESS;;;;;;;;;;;;;
294;FONDO;;;;;;;;;;;;;
194;FOOTBALL AMERICANO;;;;;;;;;;;;;
254;FOTOGRAFIA;;;;;;;;;;;;;
103;FRECCETTE;;;;;;;;;;;;;
317;FRECCETTE ELETTRONICHE;;;;;;;;;;;;;
318;FREESTYLE;;;;;;;;;;;;;
195;FREO FIGHT;;;;;;;;;;;;;
319;FRISBY;;;;;;;;;;;;;
196;FULL CONTACT;;;;;;;;;;;;;
34;FUNKY;;;;;;;;;;;;;
320;FUORISTRADA;;;;;;;;;;;;;
197;GEMMOLOGIA;;;;;;;;;;;;;
48;GINNASTICA;;;;;;;;;;;;;
198;GINNASTICA AEROBICA;;;;;;;;;;;;;
104;GINNASTICA ARTISTICA;;;;;;;;;;;;;
184;GINNASTICA CORPO LIBERO;;;;;;;;;;;;;
105;GINNASTICA CORRETTIVA;;;;;;;;;;;;;
106;GINNASTICA DOLCE;;;;;;;;;;;;;
321;GINNASTICA LIBERA - COREAGRAFIA;;;;;;;;;;;;;
322;GINNASTICA POSTURALE;;;;;;;;;;;;;
107;GINNASTICA RITMICA;;;;;;;;;;;;;
108;GIOCHI DI CARTE;;;;;;;;;;;;;
109;GIOCHI POPOLARI;;;;;;;;;;;;;
323;GIOCO DEL FORMAGGIO;;;;;;;;;;;;;
110;GITE;;;;;;;;;;;;;
58;GO KART;;;;;;;;;;;;;
71;GOLF;;;;;;;;;;;;;
324;GOLF e PITCH & PUTT;;;;;;;;;;;;;
325;GREEN VOLLEY;;;;;;;;;;;;;
326;GYM NUOTO;;;;;;;;;;;;;
200;HANDBALL;;;;;;;;;;;;;
29;HIP HOP;;;;;;;;;;;;;
327;HIT BALL;;;;;;;;;;;;;
328;HOCKEY FIGURA;;;;;;;;;;;;;
329;HOCKEY IN LINE;;;;;;;;;;;;;
330;HOCKEY PISTA;;;;;;;;;;;;;
201;HOCKEY SU GHIACCIO;;;;;;;;;;;;;
202;HOCKEY SU PRATO;;;;;;;;;;;;;
203;HORSE SHOE;;;;;;;;;;;;;
331;HYDROSPEED;;;;;;;;;;;;;
111;IAIDO;;;;;;;;;;;;;
332;INTER-CROSS;;;;;;;;;;;;;
204;INTERNET;;;;;;;;;;;;;
36;JEETKUNE-DO;;;;;;;;;;;;;
205;JORKY BALL;;;;;;;;;;;;;
113;JU JITSU;;;;;;;;;;;;;
114;JUDO;;;;;;;;;;;;;
333;KAJAK;;;;;;;;;;;;;
334;KAJICA;;;;;;;;;;;;;
115;KALI;;;;;;;;;;;;;
37;KARATE;;;;;;;;;;;;;
335;KART-CROSS;;;;;;;;;;;;;
206;KARTING;;;;;;;;;;;;;
336;KAYAK DA MARE;;;;;;;;;;;;;
116;KENDO;;;;;;;;;;;;;
264;Kettlebell;;;;;;;;;;;;;
207;KEYE BOXE;;;;;;;;;;;;;
38;KICK BOXING;;;;;;;;;;;;;
57;KITE SURF;;;;;;;;;;;;;
61;KOBUDO;;;;;;;;;;;;;
365;KRAV MAGA;;;;;;;;;;;;;
118;KUNG FU;;;;;;;;;;;;;
366;LANCI;;;;;;;;;;;;;
407;LASERTAG;;;;;;;;;;;;;
35;LATINO AMERICANO;;;;;;;;;;;;;
209;LETTERATURA;;;;;;;;;;;;;
367;LIGHT CONTACT;;;;;;;;;;;;;
31;LISCIO;;;;;;;;;;;;;
210;LOTTA;;;;;;;;;;;;;
368;LOTTA GRECO ROMANA;;;;;;;;;;;;;
369;MAH-JONG;;;;;;;;;;;;;
370;MARATONA;;;;;;;;;;;;;
371;MARCIA;;;;;;;;;;;;;
119;MEDITAZIONE;;;;;;;;;;;;;
372;MEZZOFONDO;;;;;;;;;;;;;
211;MINERALOGIA;;;;;;;;;;;;;
63;MINI BASKET;;;;;;;;;;;;;
373;MINI CALCIO;;;;;;;;;;;;;
374;MINI TENNIS;;;;;;;;;;;;;
252;MINIGOLF;;;;;;;;;;;;;
120;MINIVOLLEY;;;;;;;;;;;;;
121;MODELLISMO;;;;;;;;;;;;;
375;MORRA;;;;;;;;;;;;;
337;MOTO D;;;;;;;;;;;;;
122;MOTO NAUTICA;;;;;;;;;;;;;
123;MOTO RALLY;;;;;;;;;;;;;
49;MOTOCICLISMO;;;;;;;;;;;;;
124;MOTOCROSS;;;;;;;;;;;;;
338;MOTOSLITTA;;;;;;;;;;;;;
339;MOTOTURISMO;;;;;;;;;;;;;
55;MOUNTAIN BIKE;;;;;;;;;;;;;
213;MUAY THAI;;;;;;;;;;;;;
214;MUSICA;;;;;;;;;;;;;
215;NINJUTSU;;;;;;;;;;;;;
340;NIPPON KEMPO;;;;;;;;;;;;;
2;NUOTO;;;;;;;;;;;;;
341;NUOTO PINNATO;;;;;;;;;;;;;
125;NUOTO SINCRONIZZATO;;;;;;;;;;;;;
256;OLISTICO POSTURALE;;;;;;;;;;;;;
342;ORIENTAMENTO;;;;;;;;;;;;;
343;ORIENTAMENTO SUBACQUEO;;;;;;;;;;;;;
265;Paintball;;;;;;;;;;;;;
216;PALEONTOLOGIA;;;;;;;;;;;;;
126;PALLA TAMBURELLO;;;;;;;;;;;;;
4;PALLAMANO;;;;;;;;;;;;;
68;PALLANUOTO;;;;;;;;;;;;;
127;PALLAPUGNO;;;;;;;;;;;;;
3;PALLAVOLO;;;;;;;;;;;;;
344;PALLONE ELASTICO;;;;;;;;;;;;;
217;PARACADUTISMO SPORTIVO;;;;;;;;;;;;;
345;PARAPENDIO;;;;;;;;;;;;;
346;PATTINAGGIO ACROBATICO;;;;;;;;;;;;;
218;PATTINAGGIO ARTISTICO;;;;;;;;;;;;;
128;PATTINAGGIO IN LINEA;;;;;;;;;;;;;
129;PATTINAGGIO SU GHIACCIO;;;;;;;;;;;;;
376;PATTINAGGIO VELOCITA';;;;;;;;;;;;;
377;PENTATHLON MODERNO;;;;;;;;;;;;;
219;PENTHATLON MODERNO;;;;;;;;;;;;;
130;PESCA SPORTIVA;;;;;;;;;;;;;
378;PESCA SUBACQUEA;;;;;;;;;;;;;
131;PET TERAPY;;;;;;;;;;;;;
220;PETANQUE;;;;;;;;;;;;;
408;PIEN SAN TAO WING CHUN;;;;;;;;;;;;;
132;PILATES;;;;;;;;;;;;;
9;PITTURA;;;;;;;;;;;;;
133;PODISMO;;;;;;;;;;;;;
11;POESIA;;;;;;;;;;;;;
253;POKER SPORTIVO;;;;;;;;;;;;;
379;POLISTIL;;;;;;;;;;;;;
380;POLO;;;;;;;;;;;;;
381;PONY;;;;;;;;;;;;;
221;POTENZIAMENTO;;;;;;;;;;;;;
222;PROMOZIONE SOCIALE;;;;;;;;;;;;;
134;PSICOMOTRICITA';;;;;;;;;;;;;
223;PUGILATO;;;;;;;;;;;;;
135;PULKA;;;;;;;;;;;;;
136;QIGONG;;;;;;;;;;;;;
137;QUAD;;;;;;;;;;;;;
138;QWAN KI DO;;;;;;;;;;;;;
347;RAFTING;;;;;;;;;;;;;
348;RALLIES;;;;;;;;;;;;;
51;RALLY;;;;;;;;;;;;;
349;REBATTA;;;;;;;;;;;;;
139;REI.KI;;;;;;;;;;;;;
257;RIEQUILIBRIO ENERGETICO;;;;;;;;;;;;;
140;RIEVOCAZIONI STORICHE;;;;;;;;;;;;;
350;ROWING;;;;;;;;;;;;;
141;RUGBY;;;;;;;;;;;;;
351;RULLETTO;;;;;;;;;;;;;
352;RUZZOLA;;;;;;;;;;;;;
353;RUZZOLONE;;;;;;;;;;;;;
225;SAGRE;;;;;;;;;;;;;
354;SALTI;;;;;;;;;;;;;
355;SALVAMENTO;;;;;;;;;;;;;
226;SANDA;;;;;;;;;;;;;
142;SAVATE;;;;;;;;;;;;;
356;SBANDIERATORI;;;;;;;;;;;;;
44;SCACCHI;;;;;;;;;;;;;
357;SCACCHI VIVENTI;;;;;;;;;;;;;
64;SCHERMA;;;;;;;;;;;;;
227;SCHERMA ANTICA E STORICA;;;;;;;;;;;;;
143;SCI;;;;;;;;;;;;;
358;SCI ALPINISMO;;;;;;;;;;;;;
359;SCI ALPINO;;;;;;;;;;;;;
360;SCI D;;;;;;;;;;;;;
361;SCI DI FONDO;;;;;;;;;;;;;
362;SCI NAUTICO;;;;;;;;;;;;;
363;SCI NORDICO;;;;;;;;;;;;;
364;SCOOTERCROSS;;;;;;;;;;;;;
382;SCRIMA;;;;;;;;;;;;;
228;SCUOLA CALCIO;;;;;;;;;;;;;
383;SEMI CONTACT;;;;;;;;;;;;;
144;SHIATSU;;;;;;;;;;;;;
229;SHOOTO;;;;;;;;;;;;;
384;SHORINJI KEMPO;;;;;;;;;;;;;
145;SILAT;;;;;;;;;;;;;
385;SKATE LINE;;;;;;;;;;;;;
230;SKATEBOARD;;;;;;;;;;;;;
386;SKI ROLL;;;;;;;;;;;;;
387;SLITTINO;;;;;;;;;;;;;
146;SNOW BOARD;;;;;;;;;;;;;
28;SOCIAL DANCE;;;;;;;;;;;;;
147;SOFT AIR;;;;;;;;;;;;;
232;SOFTBALL;;;;;;;;;;;;;
233;SOLLEVAMENTO PESI;;;;;;;;;;;;;
255;SPEED DOWN;;;;;;;;;;;;;
388;SPEEDWAY;;;;;;;;;;;;;
389;SPELEOLOGIA;;;;;;;;;;;;;
24;SPINNING;;;;;;;;;;;;;
234;SPORT ACQUATICI;;;;;;;;;;;;;
235;SPORT DEL GHIACCIO;;;;;;;;;;;;;
236;SPORT DEL MARE;;;;;;;;;;;;;
237;SPORT EQUESTRI;;;;;;;;;;;;;
149;SPORT INVERNALI;;;;;;;;;;;;;
238;SPORT PER DIVERSAMENTE ABILI;;;;;;;;;;;;;
239;SPORT VARI;;;;;;;;;;;;;
240;SQUASH;;;;;;;;;;;;;
150;STEP;;;;;;;;;;;;;
241;STRETCHING;;;;;;;;;;;;;
391;SUBBUTEO;;;;;;;;;;;;;
392;SURFING;;;;;;;;;;;;;
242;TAE KWAN DO;;;;;;;;;;;;;
393;TAI CHI (CHEN);;;;;;;;;;;;;
394;TAI CHI (YANG);;;;;;;;;;;;;
151;TAIJI QWAN;;;;;;;;;;;;;
395;TAMBURELLO;;;;;;;;;;;;;
260;Tango Argentino;;;;;;;;;;;;;
396;TCHOUKBALL;;;;;;;;;;;;;
10;TEATRO;;;;;;;;;;;;;
5;TENNIS;;;;;;;;;;;;;
152;TENNIS TAVOLO;;;;;;;;;;;;;
244;TERAPIE ALTERNATIVE;;;;;;;;;;;;;
262;Tip Tap;;;;;;;;;;;;;
245;TIRO A SEGNO;;;;;;;;;;;;;
153;TIRO A VOLO;;;;;;;;;;;;;
154;TIRO AL PIATTELLO;;;;;;;;;;;;;
246;TIRO ALLA FUNE;;;;;;;;;;;;;
155;TIRO CON L'ARCO;;;;;;;;;;;;;
247;TORNEO DEL PALIO;;;;;;;;;;;;;
397;TORRENTISMO;;;;;;;;;;;;;
398;TOTAL BODY;;;;;;;;;;;;;
156;TREKKING;;;;;;;;;;;;;
399;TRIAL;;;;;;;;;;;;;
157;TRIATHLON;;;;;;;;;;;;;
400;TUFFI;;;;;;;;;;;;;
158;TURISMO;;;;;;;;;;;;;
390;TWIRLING;;;;;;;;;;;;;
159;VELA;;;;;;;;;;;;;
248;VIDEO GIOCHI;;;;;;;;;;;;;
258;VIET BOXING;;;;;;;;;;;;;
249;VIETVO DAO;;;;;;;;;;;;;
160;VIETVODAO;;;;;;;;;;;;;
401;VOGA ALLA VENETA;;;;;;;;;;;;;
402;VOLO A MOTORE;;;;;;;;;;;;;
403;VOLO A VELA;;;;;;;;;;;;;
70;VOLO ACROBATICO;;;;;;;;;;;;;
404;VOLO LIBERO;;;;;;;;;;;;;
405;VOLO ULTRA LEGGERO;;;;;;;;;;;;;
250;VOLONTARIATO;;;;;;;;;;;;;
251;WAR GAME;;;;;;;;;;;;;
56;WIND SURF;;;;;;;;;;;;;
406;Wing Chun;;;;;;;;;;;;;
161;WINGTSUN;;;;;;;;;;;;;
69;WRESTLING;;;;;;;;;;;;;
162;WUSHU KUNG FU;;;;;;;;;;;;;
62;YOGA;;;;;;;;;;;;;
